Attacking Type 1,Attacking Type 2,Defending Type 1,Defending Type 2,Effectiveness
Electric,Normal,Ice,Normal,1.0
Electric,Normal,Fighting,Normal,1.0
Electric,Normal,Normal,Poison,1.0
Electric,Normal,Ground,Normal,0.0
Electric,Normal,Flying,Normal,2.0
Electric,Normal,Normal,Psychic,1.0
Electric,Normal,Bug,Normal,1.0
Electric,Normal,Normal,Rock,1.0
Electric,Normal,Ghost,Normal,1.0
Electric,Normal,Dragon,Normal,0.5
Electric,Normal,Dark,Normal,1.0
Electric,Normal,Normal,Steel,1.0
Electric,Normal,Fairy,Normal,1.0
Grass,Normal,Normal,Normal,1.0
Grass,Normal,Fire,Normal,0.5
Grass,Normal,Normal,Water,2.0
Grass,Normal,Electric,Normal,1.0
Grass,Normal,Grass,Normal,0.5
Grass,Normal,Ice,Normal,1.0
Grass,Normal,Fighting,Normal,1.0
Grass,Normal,Normal,Poison,0.5
Grass,Normal,Ground,Normal,2.0
Grass,Normal,Flying,Normal,0.5
Grass,Normal,Normal,Psychic,1.0
Grass,Normal,Bug,Normal,0.5
Grass,Normal,Normal,Rock,2.0
Grass,Normal,Ghost,Normal,1.0
Grass,Normal,Dragon,Normal,0.5
Grass,Normal,Dark,Normal,1.0
Grass,Normal,Normal,Steel,0.5
Grass,Normal,Fairy,Normal,1.0
Ice,Normal,Normal,Normal,1.0
Ice,Normal,Fire,Normal,0.5
Ice,Normal,Normal,Water,0.5
Ice,Normal,Electric,Normal,1.0
Ice,Normal,Grass,Normal,2.0
Ice,Normal,Ice,Normal,0.5
Ice,Normal,Fighting,Normal,1.0
Ice,Normal,Normal,Poison,1.0
Ice,Normal,Ground,Normal,2.0
Ice,Normal,Flying,Normal,2.0
Ice,Normal,Normal,Psychic,1.0
Ice,Normal,Bug,Normal,1.0
Ice,Normal,Normal,Rock,1.0
Ice,Normal,Ghost,Normal,1.0
Ice,Normal,Dragon,Normal,2.0
Ice,Normal,Dark,Normal,1.0
Ice,Normal,Normal,Steel,0.5
Ice,Normal,Fairy,Normal,1.0
Fighting,Normal,Normal,Normal,2.0
Fighting,Normal,Fire,Normal,1.0
Fighting,Normal,Normal,Water,1.0
Fighting,Normal,Electric,Normal,1.0
Fighting,Normal,Grass,Normal,1.0
Fighting,Normal,Ice,Normal,2.0
Fighting,Normal,Fighting,Normal,1.0
Fighting,Normal,Normal,Poison,0.5
Fighting,Normal,Ground,Normal,1.0
Fighting,Normal,Flying,Normal,0.5
Fighting,Normal,Normal,Psychic,0.5
Fighting,Normal,Bug,Normal,0.5
Fighting,Normal,Normal,Rock,2.0
Fighting,Normal,Ghost,Normal,0.0
Fighting,Normal,Dragon,Normal,1.0
Fighting,Normal,Dark,Normal,2.0
Fighting,Normal,Normal,Steel,2.0
Fighting,Normal,Fairy,Normal,0.5
Normal,Poison,Normal,Normal,1.0
Normal,Poison,Fire,Normal,1.0
Normal,Poison,Normal,Water,1.0
Normal,Poison,Electric,Normal,1.0
Normal,Poison,Grass,Normal,2.0
Normal,Poison,Ice,Normal,1.0
Normal,Poison,Fighting,Normal,1.0
Normal,Poison,Normal,Poison,0.5
Normal,Poison,Ground,Normal,0.5
Normal,Poison,Flying,Normal,1.0
Normal,Poison,Normal,Psychic,1.0
Normal,Poison,Bug,Normal,1.0
Normal,Poison,Normal,Rock,0.5
Normal,Poison,Ghost,Normal,0.5
Normal,Poison,Dragon,Normal,1.0
Normal,Poison,Dark,Normal,1.0
Normal,Poison,Normal,Steel,0.0
Normal,Poison,Fairy,Normal,2.0
Ground,Normal,Normal,Normal,1.0
Ground,Normal,Fire,Normal,2.0
Ground,Normal,Normal,Water,1.0
Ground,Normal,Electric,Normal,2.0
Ground,Normal,Grass,Normal,0.5
Ground,Normal,Ice,Normal,1.0
Ground,Normal,Fighting,Normal,1.0
Ground,Normal,Normal,Poison,2.0
Ground,Normal,Ground,Normal,1.0
Ground,Normal,Flying,Normal,0.0
Ground,Normal,Normal,Psychic,1.0
Ground,Normal,Bug,Normal,0.5
Ground,Normal,Normal,Rock,2.0
Ground,Normal,Ghost,Normal,1.0
Ground,Normal,Dragon,Normal,1.0
Ground,Normal,Dark,Normal,1.0
Ground,Normal,Normal,Steel,2.0
Ground,Normal,Fairy,Normal,1.0
Flying,Normal,Normal,Normal,1.0
Flying,Normal,Fire,Normal,1.0
Flying,Normal,Normal,Water,1.0
Flying,Normal,Electric,Normal,0.5
Flying,Normal,Grass,Normal,2.0
Flying,Normal,Ice,Normal,1.0
Flying,Normal,Fighting,Normal,2.0
Flying,Normal,Normal,Poison,1.0
Flying,Normal,Ground,Normal,1.0
Flying,Normal,Flying,Normal,1.0
Flying,Normal,Normal,Psychic,1.0
Flying,Normal,Bug,Normal,2.0
Flying,Normal,Normal,Rock,0.5
Flying,Normal,Ghost,Normal,1.0
Flying,Normal,Dragon,Normal,1.0
Flying,Normal,Dark,Normal,1.0
Flying,Normal,Normal,Steel,0.5
Flying,Normal,Fairy,Normal,1.0
Normal,Psychic,Normal,Normal,1.0
Normal,Psychic,Fire,Normal,1.0
Normal,Psychic,Normal,Water,1.0
Normal,Psychic,Electric,Normal,1.0
Normal,Psychic,Grass,Normal,1.0
Normal,Psychic,Ice,Normal,1.0
Normal,Psychic,Fighting,Normal,2.0
Normal,Psychic,Normal,Poison,2.0
Normal,Psychic,Ground,Normal,1.0
Normal,Psychic,Flying,Normal,1.0
Normal,Psychic,Normal,Psychic,0.5
Normal,Psychic,Bug,Normal,1.0
Normal,Psychic,Normal,Rock,1.0
Normal,Psychic,Ghost,Normal,1.0
Normal,Psychic,Dragon,Normal,1.0
Normal,Psychic,Dark,Normal,0.0
Normal,Psychic,Normal,Steel,0.5
Normal,Psychic,Fairy,Normal,1.0
Bug,Normal,Normal,Normal,1.0
Bug,Normal,Fire,Normal,0.5
Bug,Normal,Normal,Water,1.0
Bug,Normal,Electric,Normal,1.0
Bug,Normal,Grass,Normal,2.0
Bug,Normal,Ice,Normal,1.0
Bug,Normal,Fighting,Normal,0.5
Bug,Normal,Normal,Poison,0.5
Bug,Normal,Ground,Normal,1.0
Bug,Normal,Flying,Normal,0.5
Bug,Normal,Normal,Psychic,2.0
Bug,Normal,Bug,Normal,1.0
Bug,Normal,Normal,Rock,1.0
Bug,Normal,Ghost,Normal,0.5
Bug,Normal,Dragon,Normal,1.0
Bug,Normal,Dark,Normal,2.0
Bug,Normal,Normal,Steel,0.5
Bug,Normal,Fairy,Normal,0.5
Normal,Rock,Normal,Normal,1.0
Normal,Rock,Fire,Normal,2.0
Normal,Rock,Normal,Water,1.0
Normal,Rock,Electric,Normal,1.0
Normal,Rock,Grass,Normal,1.0
Normal,Rock,Ice,Normal,2.0
Normal,Rock,Fighting,Normal,0.5
Normal,Rock,Normal,Poison,1.0
Normal,Rock,Ground,Normal,0.5
Normal,Rock,Flying,Normal,2.0
Normal,Rock,Normal,Psychic,1.0
Normal,Rock,Bug,Normal,2.0
Normal,Rock,Normal,Rock,1.0
Normal,Rock,Ghost,Normal,1.0
Normal,Rock,Dragon,Normal,1.0
Normal,Rock,Dark,Normal,1.0
Normal,Rock,Normal,Steel,0.5
Normal,Rock,Fairy,Normal,1.0
Ghost,Normal,Normal,Normal,0.0
Ghost,Normal,Fire,Normal,1.0
Ghost,Normal,Normal,Water,1.0
Ghost,Normal,Electric,Normal,1.0
Ghost,Normal,Grass,Normal,1.0
Ghost,Normal,Ice,Normal,1.0
Ghost,Normal,Fighting,Normal,1.0
Ghost,Normal,Normal,Poison,1.0
Ghost,Normal,Ground,Normal,1.0
Ghost,Normal,Flying,Normal,1.0
Ghost,Normal,Normal,Psychic,2.0
Ghost,Normal,Bug,Normal,1.0
Ghost,Normal,Normal,Rock,1.0
Ghost,Normal,Ghost,Normal,2.0
Ghost,Normal,Dragon,Normal,1.0
Ghost,Normal,Dark,Normal,0.5
Ghost,Normal,Normal,Steel,1.0
Ghost,Normal,Fairy,Normal,1.0
Dragon,Normal,Normal,Normal,1.0
Dragon,Normal,Fire,Normal,1.0
Dragon,Normal,Normal,Water,1.0
Dragon,Normal,Electric,Normal,1.0
Dragon,Normal,Grass,Normal,1.0
Dragon,Normal,Ice,Normal,1.0
Dragon,Normal,Fighting,Normal,1.0
Dragon,Normal,Normal,Poison,1.0
Dragon,Normal,Ground,Normal,1.0
Dragon,Normal,Flying,Normal,1.0
Dragon,Normal,Normal,Psychic,1.0
Dragon,Normal,Bug,Normal,1.0
Dragon,Normal,Normal,Rock,1.0
Dragon,Normal,Ghost,Normal,1.0
Dragon,Normal,Dragon,Normal,2.0
Dragon,Normal,Dark,Normal,1.0
Dragon,Normal,Normal,Steel,0.5
Dragon,Normal,Fairy,Normal,0.0
Dark,Normal,Normal,Normal,1.0
Dark,Normal,Fire,Normal,1.0
Dark,Normal,Normal,Water,1.0
Dark,Normal,Electric,Normal,1.0
Dark,Normal,Grass,Normal,1.0
Dark,Normal,Ice,Normal,1.0
Dark,Normal,Fighting,Normal,0.5
Dark,Normal,Normal,Poison,1.0
Dark,Normal,Ground,Normal,1.0
Dark,Normal,Flying,Normal,1.0
Dark,Normal,Normal,Psychic,2.0
Dark,Normal,Bug,Normal,1.0
Dark,Normal,Normal,Rock,1.0
Dark,Normal,Ghost,Normal,2.0
Dark,Normal,Dragon,Normal,1.0
Dark,Normal,Dark,Normal,0.5
Dark,Normal,Normal,Steel,1.0
Dark,Normal,Fairy,Normal,0.5
Normal,Steel,Normal,Normal,1.0
Normal,Steel,Fire,Normal,0.5
Normal,Steel,Normal,Water,0.5
Normal,Steel,Electric,Normal,0.5
Normal,Steel,Grass,Normal,1.0
Normal,Steel,Ice,Normal,2.0
Normal,Steel,Fighting,Normal,1.0
Normal,Steel,Normal,Poison,1.0
Normal,Steel,Ground,Normal,1.0
Normal,Steel,Flying,Normal,1.0
Normal,Steel,Normal,Psychic,1.0
Normal,Steel,Bug,Normal,1.0
Normal,Steel,Normal,Rock,2.0
Normal,Steel,Ghost,Normal,1.0
Normal,Steel,Dragon,Normal,1.0
Normal,Steel,Dark,Normal,1.0
Normal,Steel,Normal,Steel,0.5
Normal,Steel,Fairy,Normal,2.0
Fairy,Normal,Normal,Normal,1.0
Fairy,Normal,Fire,Normal,0.5
Fairy,Normal,Normal,Water,1.0
Fairy,Normal,Electric,Normal,1.0
Fairy,Normal,Grass,Normal,1.0
Fairy,Normal,Ice,Normal,1.0
Fairy,Normal,Fighting,Normal,2.0
Fairy,Normal,Normal,Poison,0.5
Fairy,Normal,Ground,Normal,1.0
Fairy,Normal,Flying,Normal,1.0
Fairy,Normal,Normal,Psychic,1.0
Fairy,Normal,Bug,Normal,1.0
Fairy,Normal,Normal,Rock,1.0
Fairy,Normal,Ghost,Normal,1.0
Fairy,Normal,Dragon,Normal,2.0
Fairy,Normal,Dark,Normal,2.0
Fairy,Normal,Normal,Steel,0.5
Fairy,Normal,Fairy,Normal,1.0
Normal,Normal,Fire,Fire,1.0
Normal,Normal,Fire,Water,1.0
Normal,Normal,Electric,Fire,1.0
Normal,Normal,Fire,Grass,1.0
Normal,Normal,Fire,Ice,1.0
Normal,Normal,Fighting,Fire,1.0
Normal,Normal,Fire,Poison,1.0
Normal,Normal,Fire,Ground,1.0
Normal,Normal,Fire,Flying,1.0
Normal,Normal,Fire,Psychic,1.0
Normal,Normal,Bug,Fire,1.0
Normal,Normal,Fire,Rock,0.5
Normal,Normal,Fire,Ghost,0.0
Normal,Normal,Dragon,Fire,1.0
Normal,Normal,Dark,Fire,1.0
Normal,Normal,Fire,Steel,0.5
Normal,Normal,Fairy,Fire,1.0
Fire,Normal,Fire,Normal,1.0
Fire,Normal,Fire,Fire,0.5
Fire,Normal,Fire,Water,0.5
Fire,Normal,Electric,Fire,1.0
Fire,Normal,Fire,Grass,2.0
Fire,Normal,Fire,Ice,2.0
Fire,Normal,Fighting,Fire,1.0
Fire,Normal,Fire,Poison,1.0
Fire,Normal,Fire,Ground,1.0
Fire,Normal,Fire,Flying,1.0
Fire,Normal,Fire,Psychic,1.0
Fire,Normal,Bug,Fire,2.0
Fire,Normal,Fire,Rock,0.5
Fire,Normal,Fire,Ghost,1.0
Fire,Normal,Dragon,Fire,0.5
Fire,Normal,Dark,Fire,1.0
Fire,Normal,Fire,Steel,2.0
Fire,Normal,Fairy,Fire,1.0
Normal,Water,Fire,Normal,1.0
Normal,Water,Fire,Fire,2.0
Normal,Water,Fire,Water,0.5
Normal,Water,Electric,Fire,1.0
Normal,Water,Fire,Grass,0.5
Normal,Water,Fire,Ice,1.0
Normal,Water,Fighting,Fire,1.0
Normal,Water,Fire,Poison,1.0
Normal,Water,Fire,Ground,2.0
Normal,Water,Fire,Flying,1.0
Normal,Water,Fire,Psychic,1.0
Normal,Water,Bug,Fire,1.0
Normal,Water,Fire,Rock,2.0
Normal,Water,Fire,Ghost,1.0
Normal,Water,Dragon,Fire,0.5
Normal,Water,Dark,Fire,1.0
Normal,Water,Fire,Steel,1.0
Normal,Water,Fairy,Fire,1.0
Electric,Normal,Fire,Fire,1.0
Electric,Normal,Fire,Water,2.0
Electric,Normal,Electric,Fire,0.5
Electric,Normal,Fire,Grass,0.5
Electric,Normal,Fire,Ice,1.0
Electric,Normal,Fighting,Fire,1.0
Electric,Normal,Fire,Poison,1.0
Electric,Normal,Fire,Ground,0.0
Electric,Normal,Fire,Flying,2.0
Electric,Normal,Fire,Psychic,1.0
Electric,Normal,Bug,Fire,1.0
Electric,Normal,Fire,Rock,1.0
Electric,Normal,Fire,Ghost,1.0
Electric,Normal,Dragon,Fire,0.5
Electric,Normal,Dark,Fire,1.0
Electric,Normal,Fire,Steel,1.0
Electric,Normal,Fairy,Fire,1.0
Grass,Normal,Fire,Normal,1.0
Grass,Normal,Fire,Fire,0.5
Grass,Normal,Fire,Water,2.0
Grass,Normal,Electric,Fire,1.0
Grass,Normal,Fire,Grass,0.5
Grass,Normal,Fire,Ice,1.0
Grass,Normal,Fighting,Fire,1.0
Grass,Normal,Fire,Poison,0.5
Grass,Normal,Fire,Ground,2.0
Grass,Normal,Fire,Flying,0.5
Grass,Normal,Fire,Psychic,1.0
Grass,Normal,Bug,Fire,0.5
Grass,Normal,Fire,Rock,2.0
Grass,Normal,Fire,Ghost,1.0
Grass,Normal,Dragon,Fire,0.5
Grass,Normal,Dark,Fire,1.0
Grass,Normal,Fire,Steel,0.5
Grass,Normal,Fairy,Fire,1.0
Ice,Normal,Fire,Normal,1.0
Ice,Normal,Fire,Fire,0.5
Ice,Normal,Fire,Water,0.5
Ice,Normal,Electric,Fire,1.0
Ice,Normal,Fire,Grass,2.0
Ice,Normal,Fire,Ice,0.5
Ice,Normal,Fighting,Fire,1.0
Ice,Normal,Fire,Poison,1.0
Ice,Normal,Fire,Ground,2.0
Ice,Normal,Fire,Flying,2.0
Ice,Normal,Fire,Psychic,1.0
Ice,Normal,Bug,Fire,1.0
Ice,Normal,Fire,Rock,1.0
Ice,Normal,Fire,Ghost,1.0
Ice,Normal,Dragon,Fire,2.0
Ice,Normal,Dark,Fire,1.0
Ice,Normal,Fire,Steel,0.5
Ice,Normal,Fairy,Fire,1.0
Fighting,Normal,Fire,Normal,2.0
Fighting,Normal,Fire,Fire,1.0
Fighting,Normal,Fire,Water,1.0
Fighting,Normal,Electric,Fire,1.0
Fighting,Normal,Fire,Grass,1.0
Fighting,Normal,Fire,Ice,2.0
Fighting,Normal,Fighting,Fire,1.0
Fighting,Normal,Fire,Poison,0.5
Fighting,Normal,Fire,Ground,1.0
Fighting,Normal,Fire,Flying,0.5
Fighting,Normal,Fire,Psychic,0.5
Fighting,Normal,Bug,Fire,0.5
Fighting,Normal,Fire,Rock,2.0
Fighting,Normal,Fire,Ghost,0.0
Fighting,Normal,Dragon,Fire,1.0
Fighting,Normal,Dark,Fire,2.0
Fighting,Normal,Fire,Steel,2.0
Fighting,Normal,Fairy,Fire,0.5
Normal,Poison,Fire,Fire,1.0
Normal,Poison,Fire,Water,1.0
Normal,Poison,Electric,Fire,1.0
Normal,Poison,Fire,Grass,2.0
Normal,Poison,Fire,Ice,1.0
Normal,Poison,Fighting,Fire,1.0
Normal,Poison,Fire,Poison,0.5
Normal,Poison,Fire,Ground,0.5
Normal,Poison,Fire,Flying,1.0
Normal,Poison,Fire,Psychic,1.0
Normal,Poison,Bug,Fire,1.0
Normal,Poison,Fire,Rock,0.5
Normal,Poison,Fire,Ghost,0.5
Normal,Poison,Dragon,Fire,1.0
Normal,Poison,Dark,Fire,1.0
Normal,Poison,Fire,Steel,0.0
Normal,Poison,Fairy,Fire,2.0
Ground,Normal,Fire,Normal,1.0
Ground,Normal,Fire,Fire,2.0
Ground,Normal,Fire,Water,1.0
Ground,Normal,Electric,Fire,2.0
Ground,Normal,Fire,Grass,0.5
Ground,Normal,Fire,Ice,1.0
Ground,Normal,Fighting,Fire,1.0
Ground,Normal,Fire,Poison,2.0
Ground,Normal,Fire,Ground,1.0
Ground,Normal,Fire,Flying,0.0
Ground,Normal,Fire,Psychic,1.0
Ground,Normal,Bug,Fire,0.5
Ground,Normal,Fire,Rock,2.0
Ground,Normal,Fire,Ghost,1.0
Ground,Normal,Dragon,Fire,1.0
Ground,Normal,Dark,Fire,1.0
Ground,Normal,Fire,Steel,2.0
Ground,Normal,Fairy,Fire,1.0
Flying,Normal,Fire,Fire,1.0
Flying,Normal,Fire,Water,1.0
Flying,Normal,Electric,Fire,0.5
Flying,Normal,Fire,Grass,2.0
Flying,Normal,Fire,Ice,1.0
Flying,Normal,Fighting,Fire,2.0
Flying,Normal,Fire,Poison,1.0
Flying,Normal,Fire,Ground,1.0
Flying,Normal,Fire,Flying,1.0
Flying,Normal,Fire,Psychic,1.0
Flying,Normal,Bug,Fire,2.0
Flying,Normal,Fire,Rock,0.5
Flying,Normal,Fire,Ghost,1.0
Flying,Normal,Dragon,Fire,1.0
Flying,Normal,Dark,Fire,1.0
Flying,Normal,Fire,Steel,0.5
Flying,Normal,Fairy,Fire,1.0
Normal,Psychic,Fire,Fire,1.0
Normal,Psychic,Fire,Water,1.0
Normal,Psychic,Electric,Fire,1.0
Normal,Psychic,Fire,Grass,1.0
Normal,Psychic,Fire,Ice,1.0
Normal,Psychic,Fighting,Fire,2.0
Normal,Psychic,Fire,Poison,2.0
Normal,Psychic,Fire,Ground,1.0
Normal,Psychic,Fire,Flying,1.0
Normal,Psychic,Fire,Psychic,0.5
Normal,Psychic,Bug,Fire,1.0
Normal,Psychic,Fire,Rock,1.0
Normal,Psychic,Fire,Ghost,1.0
Normal,Psychic,Dragon,Fire,1.0
Normal,Psychic,Dark,Fire,0.0
Normal,Psychic,Fire,Steel,0.5
Normal,Psychic,Fairy,Fire,1.0
Bug,Normal,Fire,Normal,1.0
Bug,Normal,Fire,Fire,0.5
Bug,Normal,Fire,Water,1.0
Bug,Normal,Electric,Fire,1.0
Bug,Normal,Fire,Grass,2.0
Bug,Normal,Fire,Ice,1.0
Bug,Normal,Fighting,Fire,0.5
Bug,Normal,Fire,Poison,0.5
Bug,Normal,Fire,Ground,1.0
Bug,Normal,Fire,Flying,0.5
Bug,Normal,Fire,Psychic,2.0
Bug,Normal,Bug,Fire,1.0
Bug,Normal,Fire,Rock,1.0
Bug,Normal,Fire,Ghost,0.5
Bug,Normal,Dragon,Fire,1.0
Bug,Normal,Dark,Fire,2.0
Bug,Normal,Fire,Steel,0.5
Bug,Normal,Fairy,Fire,0.5
Normal,Rock,Fire,Normal,1.0
Normal,Rock,Fire,Fire,2.0
Normal,Rock,Fire,Water,1.0
Normal,Rock,Electric,Fire,1.0
Normal,Rock,Fire,Grass,1.0
Normal,Rock,Fire,Ice,2.0
Normal,Rock,Fighting,Fire,0.5
Normal,Rock,Fire,Poison,1.0
Normal,Rock,Fire,Ground,0.5
Normal,Rock,Fire,Flying,2.0
Normal,Rock,Fire,Psychic,1.0
Normal,Rock,Bug,Fire,2.0
Normal,Rock,Fire,Rock,1.0
Normal,Rock,Fire,Ghost,1.0
Normal,Rock,Dragon,Fire,1.0
Normal,Rock,Dark,Fire,1.0
Normal,Rock,Fire,Steel,0.5
Normal,Rock,Fairy,Fire,1.0
Ghost,Normal,Fire,Normal,0.0
Ghost,Normal,Fire,Fire,1.0
Ghost,Normal,Fire,Water,1.0
Ghost,Normal,Electric,Fire,1.0
Ghost,Normal,Fire,Grass,1.0
Ghost,Normal,Fire,Ice,1.0
Ghost,Normal,Fighting,Fire,1.0
Ghost,Normal,Fire,Poison,1.0
Ghost,Normal,Fire,Ground,1.0
Ghost,Normal,Fire,Flying,1.0
Ghost,Normal,Fire,Psychic,2.0
Ghost,Normal,Bug,Fire,1.0
Ghost,Normal,Fire,Rock,1.0
Ghost,Normal,Fire,Ghost,2.0
Ghost,Normal,Dragon,Fire,1.0
Ghost,Normal,Dark,Fire,0.5
Ghost,Normal,Fire,Steel,1.0
Ghost,Normal,Fairy,Fire,1.0
Dragon,Normal,Fire,Fire,1.0
Dragon,Normal,Fire,Water,1.0
Dragon,Normal,Electric,Fire,1.0
Dragon,Normal,Fire,Grass,1.0
Dragon,Normal,Fire,Ice,1.0
Dragon,Normal,Fighting,Fire,1.0
Dragon,Normal,Fire,Poison,1.0
Dragon,Normal,Fire,Ground,1.0
Dragon,Normal,Fire,Flying,1.0
Dragon,Normal,Fire,Psychic,1.0
Dragon,Normal,Bug,Fire,1.0
Dragon,Normal,Fire,Rock,1.0
Dragon,Normal,Fire,Ghost,1.0
Dragon,Normal,Dragon,Fire,2.0
Dragon,Normal,Dark,Fire,1.0
Dragon,Normal,Fire,Steel,0.5
Dragon,Normal,Fairy,Fire,0.0
Dark,Normal,Fire,Fire,1.0
Dark,Normal,Fire,Water,1.0
Dark,Normal,Electric,Fire,1.0
Dark,Normal,Fire,Grass,1.0
Dark,Normal,Fire,Ice,1.0
Dark,Normal,Fighting,Fire,0.5
Dark,Normal,Fire,Poison,1.0
Dark,Normal,Fire,Ground,1.0
Dark,Normal,Fire,Flying,1.0
Dark,Normal,Fire,Psychic,2.0
Dark,Normal,Bug,Fire,1.0
Dark,Normal,Fire,Rock,1.0
Dark,Normal,Fire,Ghost,2.0
Dark,Normal,Dragon,Fire,1.0
Dark,Normal,Dark,Fire,0.5
Dark,Normal,Fire,Steel,1.0
Dark,Normal,Fairy,Fire,0.5
Normal,Steel,Fire,Normal,1.0
Normal,Steel,Fire,Fire,0.5
Normal,Steel,Fire,Water,0.5
Normal,Steel,Electric,Fire,0.5
Normal,Steel,Fire,Grass,1.0
Normal,Steel,Fire,Ice,2.0
Normal,Steel,Fighting,Fire,1.0
Normal,Steel,Fire,Poison,1.0
Normal,Steel,Fire,Ground,1.0
Normal,Steel,Fire,Flying,1.0
Normal,Steel,Fire,Psychic,1.0
Normal,Steel,Bug,Fire,1.0
Normal,Steel,Fire,Rock,2.0
Normal,Steel,Fire,Ghost,1.0
Normal,Steel,Dragon,Fire,1.0
Normal,Steel,Dark,Fire,1.0
Normal,Steel,Fire,Steel,0.5
Normal,Steel,Fairy,Fire,2.0
Fairy,Normal,Fire,Normal,1.0
Fairy,Normal,Fire,Fire,0.5
Fairy,Normal,Fire,Water,1.0
Fairy,Normal,Electric,Fire,1.0
Fairy,Normal,Fire,Grass,1.0
Fairy,Normal,Fire,Ice,1.0
Fairy,Normal,Fighting,Fire,2.0
Fairy,Normal,Fire,Poison,0.5
Fairy,Normal,Fire,Ground,1.0
Fairy,Normal,Fire,Flying,1.0
Fairy,Normal,Fire,Psychic,1.0
Fairy,Normal,Bug,Fire,1.0
Fairy,Normal,Fire,Rock,1.0
Fairy,Normal,Fire,Ghost,1.0
Fairy,Normal,Dragon,Fire,2.0
Fairy,Normal,Dark,Fire,2.0
Fairy,Normal,Fire,Steel,0.5
Fairy,Normal,Fairy,Fire,1.0
Normal,Normal,Water,Water,1.0
Normal,Normal,Electric,Water,1.0
Normal,Normal,Grass,Water,1.0
Normal,Normal,Ice,Water,1.0
Normal,Normal,Fighting,Water,1.0
Normal,Normal,Poison,Water,1.0
Normal,Normal,Ground,Water,1.0
Normal,Normal,Flying,Water,1.0
Normal,Normal,Psychic,Water,1.0
Normal,Normal,Bug,Water,1.0
Normal,Normal,Rock,Water,0.5
Normal,Normal,Ghost,Water,0.0
Normal,Normal,Dragon,Water,1.0
Normal,Normal,Dark,Water,1.0
Normal,Normal,Steel,Water,0.5
Normal,Normal,Fairy,Water,1.0
Fire,Normal,Normal,Water,1.0
Fire,Normal,Water,Water,0.5
Fire,Normal,Electric,Water,1.0
Fire,Normal,Grass,Water,2.0
Fire,Normal,Ice,Water,2.0
Fire,Normal,Fighting,Water,1.0
Fire,Normal,Poison,Water,1.0
Fire,Normal,Ground,Water,1.0
Fire,Normal,Flying,Water,1.0
Fire,Normal,Psychic,Water,1.0
Fire,Normal,Bug,Water,2.0
Fire,Normal,Rock,Water,0.5
Fire,Normal,Ghost,Water,1.0
Fire,Normal,Dragon,Water,0.5
Fire,Normal,Dark,Water,1.0
Fire,Normal,Steel,Water,2.0
Fire,Normal,Fairy,Water,1.0
Normal,Water,Normal,Water,1.0
Normal,Water,Fire,Water,2.0
Normal,Water,Water,Water,0.5
Normal,Water,Electric,Water,1.0
Normal,Water,Grass,Water,0.5
Normal,Water,Ice,Water,1.0
Normal,Water,Fighting,Water,1.0
Normal,Water,Poison,Water,1.0
Normal,Water,Ground,Water,2.0
